Ship Date,Forecast Qty,SO Quantity,Account Manager,Parent,Item,Item Description
2022-01-02T00:00:00,,,Vance Jensen,Walmart,1832,"17"" TABLETOP - BLACK FRONT"
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5284,28 inch Griddle Cover ProSeries Jr.
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5005,Pro Series 36in Griddle Cover
2022-01-02T00:00:00,,,Vance Jensen,Walmart,5075,Rangetop Cover
2023-01-01T00:00:00,10000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-12-01T00:00:00,26160.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-03-01T00:00:00,14000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-07-01T00:00:00,15000.0,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-09-01T00:00:00,3511.268,,Vance Jensen,Walmart,5902,Infrared Thermometer
2023-01-01T00:00:00,500.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-12-01T00:00:00,36656.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-03-01T00:00:00,500.0,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-07-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-09-01T00:00:00,,,Vance Jensen,Walmart,5887,Pizza Stone Scraper
2023-01-01T00:00:00,20000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-12-01T00:00:00,34880.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-02-01T00:00:00,3000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-03-01T00:00:00,1000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-04-01T00:00:00,6000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-05-01T00:00:00,6000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-06-01T00:00:00,12000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-07-01T00:00:00,12000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-08-01T00:00:00,3000.0,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-09-01T00:00:00,7290.4294,,Vance Jensen,Walmart,5655,Pizza Cutter
2023-01-01T00:00:00,10000.0,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-12-01T00:00:00,66024.0,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-03-01T00:00:00,5000.0,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-07-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-09-01T00:00:00,5000.0,,Vance Jensen,Walmart,5365,32oz Squeeze bottle
2023-01-01T00:00:00,5000.0,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-12-01T00:00:00,34880.0,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-03-01T00:00:00,5000.0,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-07-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-09-01T00:00:00,5000.0,,Vance Jensen,Walmart,5364,Griddle Spatula
2023-01-01T00:00:00,2000.0,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-12-01T00:00:00,52320.0,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-03-01T00:00:00,10000.0,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-07-01T00:00:00,5000.0,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-09-01T00:00:00,10000.0,,Vance Jensen,Walmart,5361,"14"" Tongs"
2023-01-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-12-01T00:00:00,34880.0,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-03-01T00:00:00,12000.0,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-06-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-07-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-08-01T00:00:00,,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-09-01T00:00:00,12000.0,,Vance Jensen,Walmart,5335,Hamburger Spatula
2023-01-01T00:00:00,500.0,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-10-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-11-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-12-01T00:00:00,44016.0,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-02-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-03-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-04-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
2023-05-01T00:00:00,,,Vance Jensen,Walmart,5101,Griddle Leg Leveling Kit
